|   tevcat_name | gammacat_id |                           reference_ids |
| TeV J0835-456 |          37 | 2006A&A...448L..43A,2012A&A...548A..38A |
| TeV J0852-463 |          39 | 2007ApJ...661..236A,2016arXiv161101863H |
| TeV J1023-577 |          46 |                     2011A&A...525A..46H |
| TeV J1026-582 |          47 |                     2011A&A...525A..46H |
| TeV J1119-614 |          50 |                                         |
| TeV J1302-638 |          60 |                                         |
| TeV J1303-631 |          61 |                     2012A&A...548A..46H |
| TeV J1356-645 |          64 |                     2008AIPC.1085..285R |
| TeV J1418-609 |          65 |                     2006A&A...456..245A |
| TeV J1420-607 |          66 |                     2006A&A...456..245A |
| TeV J1427-608 |          68 |                     2008A&A...477..353A |
| TeV J1442-624 |          70 |                     2016arXiv160104461H |
| TeV J1457-594 |          72 |                                         |
| TeV J1459-608 |          73 |                                         |
| TeV J1503-582 |          75 |                     2008AIPC.1085..281R |
| TeV J1506-623 |          77 |                     2011A&A...525A..45H |
| TeV J1514-591 |          79 |                     2005A&A...435L..17A |
| TeV J1614-518 |          83 | 2006ApJ...636..777A,2011A&A...531L..18H |
| TeV J1616-508 |          84 |                     2006ApJ...636..777A |
| TeV J1626-490 |          85 |                     2008A&A...477..353A |
| TeV J1632-478 |          86 |                     2006ApJ...636..777A |
| TeV J1634-472 |          87 |                     2006ApJ...636..777A |
| TeV J1640-465 |          88 | 2006ApJ...636..777A,2014MNRAS.439.2828A |
| TeV J1641-463 |          89 | 2013arXiv1303.0979O,2014ApJ...794L...1A |
| TeV J1647-458 |          90 |                     2012A&A...537A.114A |
| TeV J1702-420 |          92 | 2006ApJ...636..777A,2008A&A...477..353A |
| TeV J1708-443 |          94 |                     2011A&A...528A.143H |
| TeV J1708-410 |          93 | 2006ApJ...636..777A,2008A&A...477..353A |
| TeV J1713-397 |          96 |                     2016arXiv160908671H |
| TeV J1713-382 |          95 |                     2006ApJ...636..777A |
| TeV J1714-385 |          97 |                     2008A&A...490..685A |
| TeV J1718-385 |          99 |                     2007A&A...472..489A |
| TeV J1729-345 |         102 |                     2011A&A...531A..81H |
| TeV J1732-347 |         103 | 2008A&A...477..353A,2011A&A...531A..81H |
| TeV J1741-301 |         104 |                     2008AIPC.1085..249T |
| TeV J1745-303 |         108 |                     2006ApJ...636..777A |
| TeV J1745-290 |         106 | 2009A&A...503..817A,2016Natur.531..476H |
| TeV J1747-281 |         110 |                     2005A&A...432L..25A |
| TeV J1800-240 |         156 |                     2008A&A...481..401A |
| TeV J1801-233 |         112 |                     2008A&A...481..401A |
| TeV J1804-217 |         113 |                     2006ApJ...636..777A |
| TeV J1808-204 |         114 |                                         |
| TeV J1810-193 |         115 |                     2007A&A...472..489A |
| TeV J1813-178 |         116 |                     2006ApJ...636..777A |
| TeV J1826-137 |         118 | 2006A&A...460..365A,2006ApJ...636..777A |
| TeV J1826-148 |         119 |                                         |
| TeV J1831-099 |         120 |                                         |
| TeV J1833-105 |         122 |                     2015MNRAS.446.1163H |
| TeV J1834-087 |         123 |                     2006ApJ...636..777A |
| TeV J1837-069 |         124 |                     2006ApJ...636..777A |
| TeV J1840-055 |         125 |                     2008A&A...477..353A |
| TeV J1843-030 |         126 |                                         |
| TeV J1846-029 |         127 |                                         |
| TeV J1848-017 |         128 |                     2008AIPC.1085..372C |
| TeV J1849-000 |         129 |                                         |
